JUGADOR,EQUIPO,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,ID
Patrick Williams,Chicago Bulls,63,36,25.0,3.3,8.2,0.397,1.5,4.3,0.353,1.0,1.3,0.723,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,9.0,1630172
Danté Exum,Dallas Mavericks,20,13,18.6,3.2,6.7,0.478,1.2,2.7,0.434,1.2,1.6,0.742,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7,203957
Max Christie,Dallas Mavericks,46,25,25.1,2.8,6.3,0.444,1.3,3.5,0.368,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,1631108
Max Christie,Dallas Mavericks,32,11,30.4,3.9,9.4,0.411,1.7,4.7,0.364,1.8,2.0,0.862,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2,1631108
Max Christie,Dallas Mavericks,78,36,27.3,3.2,7.6,0.427,1.5,4.0,0.366,1.7,1.9,0.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,1631108
Jaden Hardy,Dallas Mavericks,57,3,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.1,1.5,0.698,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7,1630702
Dereck Lively II,Dallas Mavericks,36,29,23.1,3.7,5.3,0.702,0.0,0.0,0.0,1.3,2.0,0.63,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,1641726
Anthony Davis,Dallas Mavericks,42,42,34.3,9.5,18.0,0.528,0.7,2.2,0.298,6.0,7.6,0.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,203076
Anthony Davis,Dallas Mavericks,9,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,3.7,5.3,0.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20.0,203076
Anthony Davis,Dallas Mavericks,51,51,33.4,9.2,17.8,0.516,0.7,2.4,0.282,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,203076
D'Angelo Russell,Dallas Mavericks,29,10,26.3,4.4,10.7,0.415,1.9,5.8,0.333,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,1626156
D'Angelo Russell,Dallas Mavericks,29,26,24.7,4.1,11.3,0.367,2.0,6.6,0.297,2.6,3.2,0.826,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,12.9,1626156
D'Angelo Russell,Dallas Mavericks,58,36,25.5,4.3,11.0,0.39,1.9,6.2,0.314,2.1,2.5,0.834,0.3,2.4,2.8,5.1,1.0,0.4,1.9,2.0,12.6,1626156
Dwight Powell,Dallas Mavericks,55,3,10.0,0.8,1.1,0.689,0.0,0.1,0.4,0.5,0.8,0.651,0.9,1.3,2.1,1.0,0.3,0.4,0.3,1.4,2.1,203939
Brandon Williams,Dallas Mavericks,33,3,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,0.4,1.4,1.8,2.3,0.7,0.2,1.2,1.0,8.3,1630314
